cultivar,size,stringiness,taste,date,person,rating
Kensington Pride,"Huge, 7in",none,muscadine,7/13/2017,robin,10
Kensington Pride,,,,7/13/2017,irina,9
dot,medium ,slight,popcorn butter,7/14/2017,robin,7
dot,,,too sweet,7/14/2017,irina,6
sweet tart,small medium,chalky,,7/14/2017,robin ,4
sweet tart,,,"smells like tylenol, but decent flavor",7/14/2017,irina ,3.5
Kensington pride,,,,7/14/2017,robin,9
Kensington pride,,,,7/14/2017,irina ,10
sweet tart,,slightly chalky,"no aroma, bad or good",,irina,5
sweet tart,,,,,robin,6
Kensington pride,,,,,irina,8
Kensington pride,,,,,robin,8
sweet tart,,,,,irina,3.5
sweet tart,,,,,robin,6
nam duk moi,,yes,,,irina,5
nam duk moi,,,,,robin,7
haden,,very slight,quintessential mango,,robin,10
haden,,,,,irina,9
haden,,,,,robin,9
haden,,,,,irina,9
Edwards,,absolutely none,"much mango, wow",,robin,9
Edwards,,,,,irina,8
Edwards,,,,,robin,9
Edwards,,,,,irina,8
